[2025-08-25T09:43:35.984Z] 🚀 开始修复版数据合并...
[2025-08-25T09:43:35.994Z] 📝 正在登录...
[2025-08-25T09:43:36.177Z] ✅ 登录成功
[2025-08-25T09:43:36.178Z] 📊 获取数据...
[2025-08-25T09:43:36.305Z] ✅ 获取到 119 条 students_card 记录
[2025-08-25T09:43:36.306Z] ✅ 获取到 119 条 students 记录
[2025-08-25T09:43:36.306Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.307Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.308Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.308Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.309Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.309Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.310Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.310Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.310Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.311Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.311Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.312Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.312Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.312Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.313Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.313Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.314Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.314Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.314Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.314Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.315Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.315Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.316Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.316Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.316Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.317Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.317Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.317Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.318Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.318Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.318Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.319Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.319Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.320Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.320Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.321Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.322Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.322Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.323Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.323Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.324Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.324Z] ⚠️ 跳过记录：没有学生姓名
